name,other_name,votes,percentage,delegates
Clinton,Hillary Rodham,459511,65.48,37
Obama,Barack Hussein,209954,29.92,14
Uncommitted,,18091,2.58,9
Edwards,John Reid,14212,2.03,0
(available),,,,0
